ytid,status,path,duration_s,error
VNzEAjztgxg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VNzEAjztgxg_30_40.wav,10.0,
VP1cB_AVu6c,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VP1cB_AVu6c_200_210.wav,10.0,
VRxFYwbik6A,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VRxFYwbik6A_120_130.wav,10.0,
VSAbMy1Rlio,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VSAbMy1Rlio_30_40.wav,10.0,
VSf3_XpiPkQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VSf3_XpiPkQ_210_220.wav,10.0,
VRfi64fecj4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VRfi64fecj4_210_220.wav,10.0,
VMzn9GytUTk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VMzn9GytUTk_30_40.wav,10.0,
VTagIq90b7s,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VTagIq90b7s_30_40.wav,10.0,
VTOf24hbq0A,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VTOf24hbq0A_30_40.wav,10.0,
VV-DgnPPhSo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VV-DgnPPhSo_220_230.wav,10.0,
VV85n-ebuUU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VV85n-ebuUU_110_120.wav,10.0,
VZfrDZhI7BU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VZfrDZhI7BU_30_40.wav,10.0,
Vbcy6KBJsAA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vbcy6KBJsAA_20_30.wav,10.0,
VZjE27e9X7o,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VZjE27e9X7o_10_20.wav,10.0,
Vbx6TFxSPYY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vbx6TFxSPYY_70_80.wav,10.0,
Vci2eZYzA-c,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vci2eZYzA-c_30_40.wav,10.0,
VdYakZ4Yciw,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VdYakZ4Yciw_30_40.wav,10.0,
Ve6Zy1BXBbY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Ve6Zy1BXBbY_30_40.wav,10.0,
VeXcCHo5iMI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VeXcCHo5iMI_30_40.wav,10.0,
VeAomElRCJc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VeAomElRCJc_30_40.wav,10.0,
VfARCp38XtA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VfARCp38XtA_70_80.wav,10.0,
VfEJHqtsuIo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VfEJHqtsuIo_110_120.wav,10.0,
VZJfkEet6EQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VZJfkEet6EQ_30_40.wav,10.0,
Vfcfj4OIJXE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vfcfj4OIJXE_30_40.wav,10.0,
Vi2posMLsrg,missing,,,ERROR: [youtube] Vi2posMLsrg: This video is unavailable
VgwsGjRk61M,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VgwsGjRk61M_20_30.wav,10.0,
ViF7A7XODiw,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ViF7A7XODiw_30_40.wav,10.0,
VjXt63pqUgw,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VjXt63pqUgw_20_30.wav,10.0,
VjbRot21Hq0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VjbRot21Hq0_30_40.wav,10.0,
VkVKGyWi2r4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VkVKGyWi2r4_30_40.wav,10.0,
VkXLtUx-RmI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VkXLtUx-RmI_300_310.wav,10.0,
VlgOLOoctm0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VlgOLOoctm0_30_40.wav,10.0,
VlXi2TxMXbc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VlXi2TxMXbc_130_140.wav,10.0,
VlwbDjggUKk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VlwbDjggUKk_30_40.wav,10.0,
VnJeG9RGUVM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VnJeG9RGUVM_30_40.wav,10.0,
VpIhbDN58mA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VpIhbDN58mA_30_40.wav,10.0,
Vr7wbGcvFts,missing,,,ERROR: [youtube] Vr7wbGcvFts: This video is not available
Vo6eT8eMMfQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vo6eT8eMMfQ_30_40.wav,10.0,
VpikuLP_9qQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VpikuLP_9qQ_70_80.wav,10.0,
VsMy72BoIbU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VsMy72BoIbU_40_50.wav,10.0,
Vt3HzkNtOP4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vt3HzkNtOP4_30_40.wav,10.0,
VswY2mI7Wbo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VswY2mI7Wbo_360_370.wav,10.0,
VrqBeY3kfKI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VrqBeY3kfKI_120_130.wav,10.0,
Vu7ZUUl4VPc,missing,,,ERROR: [youtube] Vu7ZUUl4VPc: Private video
VuWr1HXHoZg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VuWr1HXHoZg_30_40.wav,10.0,
VtHkxrta5xQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VtHkxrta5xQ_30_40.wav,10.0,
Vwekk3EOa-U,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vwekk3EOa-U_40_50.wav,10.0,
VwkRHbqpHqk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VwkRHbqpHqk_30_40.wav,10.0,
Vx4aO4-nr0c,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vx4aO4-nr0c_30_40.wav,10.0,
Vx_vqfpRdUU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vx_vqfpRdUU_100_110.wav,10.0,
Vy00ycBpqpc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Vy00ycBpqpc_0_10.wav,10.0,
VzHL56yq8bI,missing,,,ERROR: [youtube] VzHL56yq8bI: Private video
VzFpg271sm8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VzFpg271sm8_500_510.wav,10.0,
VzGHr0aV220,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VzGHr0aV220_140_150.wav,10.0,
VzYc-c-uHjI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VzYc-c-uHjI_30_40.wav,10.0,
W0aT3SdtnfY,missing,,,ERROR: [youtube] W0aT3SdtnfY: Private video
W00eTCOgUNs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W00eTCOgUNs_60_70.wav,10.0,
W-nkxlYTdV4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W-nkxlYTdV4_210_220.wav,10.0,
W2EJai-3k2w,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W2EJai-3k2w_130_140.wav,10.0,
W3DwueAy65k,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W3DwueAy65k_130_140.wav,10.0,
W2nlA65AwtU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W2nlA65AwtU_390_400.wav,10.0,
W4nQpOHIPEw,missing,,,ERROR: [youtube] W4nQpOHIPEw: Private video
W3lKc2hj4XU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W3lKc2hj4XU_30_40.wav,10.0,
W4eLgBYEEqA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W4eLgBYEEqA_440_450.wav,10.0,
W58kioYp1Ms,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W58kioYp1Ms_30_40.wav,10.0,
W5BB6pubJZI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W5BB6pubJZI_540_550.wav,10.0,
W5eOW25vvbw,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W5eOW25vvbw_30_40.wav,10.0,
W5t-T1vP2DU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W5t-T1vP2DU_30_40.wav,10.0,
W2KaBnoGxek,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W2KaBnoGxek_30_40.wav,10.0,
W7U-glgu4GM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W7U-glgu4GM_10_20.wav,10.0,
W7i4LkdSfjw,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W7i4LkdSfjw_520_530.wav,10.0,
W85w938G5ZM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W85w938G5ZM_30_40.wav,10.0,
W8Xv3Q2kGRA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W8Xv3Q2kGRA_30_40.wav,10.0,
WAxDN-FyPn8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WAxDN-FyPn8_80_90.wav,10.0,
WBBKiXYVEdM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WBBKiXYVEdM_170_180.wav,10.0,
WCiS9IDILQg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WCiS9IDILQg_60_70.wav,10.0,
WCifI6rwOoM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WCifI6rwOoM_30_40.wav,10.0,
W7KbboEOmeM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W7KbboEOmeM_30_40.wav,10.0,
WE0JqjuhaQI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WE0JqjuhaQI_30_40.wav,10.0,
WCl93HBuj60,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WCl93HBuj60_490_500.wav,10.0,
WEXJSNm_T0o,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WEXJSNm_T0o_180_190.wav,10.0,
WEVBqGarEIY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WEVBqGarEIY_30_40.wav,10.0,
WFPGA_BYkKU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WFPGA_BYkKU_30_40.wav,10.0,
WIVu5PapmX4,missing,,,ERROR: [youtube] WIVu5PapmX4: Private video
WJIrkvEq4EI,missing,,,ERROR: [youtube] WJIrkvEq4EI: This video has been removed for violating YouTube's policy on violent or graphic content
WIuLaxWIAAI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WIuLaxWIAAI_230_240.wav,10.0,
WI2d5vDJeLo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WI2d5vDJeLo_270_280.wav,10.0,
WJORWlj6BW8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WJORWlj6BW8_30_40.wav,10.0,
WK-gdfCurCg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WK-gdfCurCg_10_20.wav,10.0,
WKYUiLace9Y,missing,,,ERROR: [youtube] WKYUiLace9Y: Private video
WNmAlKrAPjQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WNmAlKrAPjQ_240_250.wav,10.0,
WKL40jfQD3g,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WKL40jfQD3g_120_130.wav,10.0,
WNv-YNn1cZ8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WNv-YNn1cZ8_10_20.wav,10.0,
WPguqXCBQCI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WPguqXCBQCI_328_338.wav,10.0,
WO_Y7djT2k4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WO_Y7djT2k4_100_110.wav,10.0,
WSMdqFEjGXE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WSMdqFEjGXE_120_130.wav,10.0,
WRZGYDh7qRo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WRZGYDh7qRo_60_70.wav,10.0,
WSaCGNkM6_k,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WSaCGNkM6_k_30_40.wav,10.0,
WMtztIW1f6k,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WMtztIW1f6k_100_110.wav,10.0,
WT2iyJmKkc8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WT2iyJmKkc8_120_130.wav,10.0,
WT_wvvEvkw4,missing,,,ERROR: [youtube] WT_wvvEvkw4: This video is not available
WTVC7ZI9WtY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WTVC7ZI9WtY_30_40.wav,10.0,
WQsuFvw43RA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WQsuFvw43RA_30_40.wav,10.0,
WW4_c2J79QA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WW4_c2J79QA_30_40.wav,10.0,
WWIT13tTW7c,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WWIT13tTW7c_190_200.wav,10.0,
WY73T0xaY0A,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WY73T0xaY0A_180_190.wav,10.0,
WYbD9YUrf_4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WYbD9YUrf_4_80_90.wav,10.0,
WYxXUBP_XaM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WYxXUBP_XaM_210_220.wav,10.0,
WZd2nT2Afds,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WZd2nT2Afds_30_40.wav,10.0,
W_979HkE4EI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W_979HkE4EI_30_40.wav,10.0,
W_MZo88gzrA,missing,,,ERROR: [youtube] W_MZo88gzrA: Video unavailable
W_zgEkvp4xU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\W_zgEkvp4xU_140_150.wav,10.0,
WaddbqEQ1NE,missing,,,ERROR: [youtube] WaddbqEQ1NE: This video is not available
WcC9sKxJ1gI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WcC9sKxJ1gI_10_20.wav,10.0,
Wd4T3iTsgrI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wd4T3iTsgrI_10_20.wav,10.0,
WditOomsdRU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WditOomsdRU_70_80.wav,10.0,
Wd5l_FHGWfE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wd5l_FHGWfE_170_180.wav,10.0,
Wdl7A3de0L4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wdl7A3de0L4_120_130.wav,10.0,
Wdtku1dqJo0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wdtku1dqJo0_30_40.wav,10.0,
WdxNikVdK-U,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WdxNikVdK-U_410_420.wav,10.0,
We0WIPYrtRE,missing,,,ERROR: [youtube] We0WIPYrtRE: This video is unavailable
We-bFXFjWaM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\We-bFXFjWaM_30_40.wav,10.0,
We9P_UcHNk8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\We9P_UcHNk8_30_40.wav,10.0,
WeDA1mDFSCo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WeDA1mDFSCo_60_70.wav,10.0,
Weu8nsJRMqE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Weu8nsJRMqE_30_40.wav,10.0,
WgZ8KAnnTb8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WgZ8KAnnTb8_30_40.wav,10.0,
Wgf7UYPVoAo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wgf7UYPVoAo_70_80.wav,10.0,
Wh5JSj89tW8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wh5JSj89tW8_40_50.wav,10.0,
WhNun_U3cRU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WhNun_U3cRU_30_40.wav,10.0,
WhX3jQxHZWc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WhX3jQxHZWc_30_40.wav,10.0,
WhEd8h7J0Lk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WhEd8h7J0Lk_360_370.wav,10.0,
Wh_g-Eiw9Kc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wh_g-Eiw9Kc_10_20.wav,10.0,
WiAFUo2nxIk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WiAFUo2nxIk_30_40.wav,10.0,
Wil8e6kBxe8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wil8e6kBxe8_30_40.wav,10.0,
WjPHxUtF9go,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WjPHxUtF9go_30_40.wav,10.0,
WkkhcwXpYy4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WkkhcwXpYy4_30_40.wav,10.0,
WmTDKYYH5OU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WmTDKYYH5OU_180_190.wav,10.0,
WmyHFkyiiF8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WmyHFkyiiF8_20_30.wav,10.0,
WmyhSRhWh3k,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WmyhSRhWh3k_30_40.wav,10.0,
Wnl0qbVynL4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wnl0qbVynL4_30_40.wav,10.0,
Wp5AiCmbQjA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wp5AiCmbQjA_70_80.wav,10.0,
WoWF7gGzGVY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WoWF7gGzGVY_30_40.wav,10.0,
Wr5sFgqxLzQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wr5sFgqxLzQ_30_40.wav,10.0,
WrpWb-Zumnc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WrpWb-Zumnc_210_220.wav,10.0,
WsDb16qzA5Q,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WsDb16qzA5Q_160_170.wav,10.0,
WtN6uiDikRM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WtN6uiDikRM_10_20.wav,10.0,
WqC-fx3uNVE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WqC-fx3uNVE_70_80.wav,10.0,
WoXgPQQjcJU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WoXgPQQjcJU_60_70.wav,10.0,
WsaOJT2SsPg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WsaOJT2SsPg_47_57.wav,10.0,
Wu-Oh9OJIlI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wu-Oh9OJIlI_30_40.wav,10.0,
WvEtOYCShfM,missing,,,ERROR: [youtube] WvEtOYCShfM: This video is unavailable
Wu3LKQG1fwU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wu3LKQG1fwU_40_50.wav,10.0,
WvaIypMvAHY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WvaIypMvAHY_490_500.wav,10.0,
Wvg5rlMbjJc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wvg5rlMbjJc_10_20.wav,10.0,
Wvh59Y4OzUM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Wvh59Y4OzUM_70_80.wav,10.0,
WxgolzWTmO4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WxgolzWTmO4_150_160.wav,10.0,
WyGJdstaxK4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WyGJdstaxK4_30_40.wav,10.0,
WySgNm8qH-I,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\WySgNm8qH-I_30_40.wav,10.0,
X-uVubaJ3II,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X-uVubaJ3II_60_70.wav,10.0,
X1KJfb5xhr4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X1KJfb5xhr4_50_60.wav,10.0,
X1_RmTiDC4I,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X1_RmTiDC4I_30_40.wav,10.0,
X28GWrn9LlI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X28GWrn9LlI_110_120.wav,10.0,
X2gHQb5ubco,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X2gHQb5ubco_280_290.wav,10.0,
X6Q53uXgaHc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X6Q53uXgaHc_30_40.wav,10.0,
X7qFgrAl3OU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X7qFgrAl3OU_70_80.wav,10.0,
X96v9LlsjJM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X96v9LlsjJM_30_40.wav,10.0,
X9H8FzpVL8s,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X9H8FzpVL8s_310_320.wav,10.0,
X0MN34Us6eE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X0MN34Us6eE_30_40.wav,10.0,
X7LrhZX4rdU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\X7LrhZX4rdU_30_40.wav,10.0,
XCQMJXkI5bA,missing,,,ERROR: [youtube] XCQMJXkI5bA: This video has been removed for violating YouTube's Terms of Service
XE4NRSDLYG8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XE4NRSDLYG8_20_30.wav,10.0,
XFuw-m2gYOQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XFuw-m2gYOQ_30_40.wav,10.0,
XEIP1OUXU8E,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XEIP1OUXU8E_140_150.wav,10.0,
XDBxMQrRaFY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XDBxMQrRaFY_30_40.wav,10.0,
XHczpbtBhk4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XHczpbtBhk4_0_10.wav,10.0,
XI9CNsX6JSE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XI9CNsX6JSE_230_240.wav,10.0,
XI-tRuDZ6HA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XI-tRuDZ6HA_100_110.wav,10.0,
XILyHZyyCik,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XILyHZyyCik_140_150.wav,10.0,
XJ3VlCAIWQ0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XJ3VlCAIWQ0_30_40.wav,10.0,
XKp670Yh0E0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XKp670Yh0E0_0_10.wav,10.0,
XJXn88r9ys8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XJXn88r9ys8_280_290.wav,10.0,
XM4hxyK-Ddo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XM4hxyK-Ddo_30_40.wav,10.0,
XNlFs7Yjauk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XNlFs7Yjauk_40_50.wav,10.0,
XOLVI1bgxqk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XOLVI1bgxqk_170_180.wav,10.0,
XPGtOugQ69U,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XPGtOugQ69U_290_300.wav,10.0,
XOsHEjo-RSg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XOsHEjo-RSg_180_190.wav,9.999977324263039,
XRQyoAk-Qz0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XRQyoAk-Qz0_30_40.wav,10.0,
XS-3djsJWTA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XS-3djsJWTA_360_370.wav,10.0,
XQB27QPic3k,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XQB27QPic3k_30_40.wav,10.0,
XUD-9HkQuTE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XUD-9HkQuTE_30_40.wav,10.0,
XUzaEsoOlWQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XUzaEsoOlWQ_180_190.wav,10.0,
XW6tS4zAZ5E,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XW6tS4zAZ5E_10_20.wav,10.0,
XWVGQbfpA0k,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XWVGQbfpA0k_130_140.wav,10.0,
